"16","育っていく断片  (2016)","素材 ：チェスト, 陶
サイズ: 106 × 74 × 24cm","op","2016-05-23 06:25:05","2020-03-24 10:43:26"
"17","机の脚の花 椅子の脚の花  (2015)
","机の脚の花(2015)
素材 ：机, 陶
サイズ: 148 × 86 × 100cm

椅子の脚の花(2015)
素材 ：椅子, 陶
サイズ: 52 × 105 × 55cm","op","2016-05-23 06:25:05","2020-03-24 10:46:14"
"18","Bourgeois(Millert 秋鐘 )  (2015)","素材 ：額縁, 模写, 陶
サイズ: 75 × 86 × 25cm
サイズ: 148 × 86 × 100cm

椅子の脚の花(2015)
素材 ：椅子, 陶
サイズ: 52 × 105 × 55cm","op","2015-05-23 06:25:05","2020-03-24 10:48:39"
"20","金属の花1   (2015)","素材 ：金具, 陶
サイズ: 8 × 6.8 × 3.5cm","op","2015-09-23 06:25:05","2020-03-24 10:59:31"
"21","金属の花2   (2015)","素材 ：金具, 陶
サイズ: 4 × 6.8 × 3.5cm","op","2015-09-23 06:25:05","2020-03-24 11:02:01"
"22","裸の花−チェスト  (2015)","素材 ：チェスト, 陶
サイズ: 68 × 59 × 20cm","op","2015-09-23 06:25:05","2020-03-24 11:03:51"
"23","裸の花−桜のように  (2015)","素材 ：金具, 引き出し, 陶
サイズ: 36 × 35 × 40cm","op","2015-09-23 06:25:05","2020-03-24 11:07:21"
"24","裸の花  (2014)","素材 ：机, 陶
サイズ: 100 × 100 × 62cm","op","2014-06-23 06:25:05","2020-03-25 07:09:00"
"25","木彫りの熊とパキラ  (2016)","素材: 木彫りの熊, 陶
サイズ: 61 × 64 × 48cm","kuma","2016-09-25 09:11:33","2020-03-25 08:54:12"
"26","木彫りの熊の足の花  (2016)","素材: 木彫りの熊, 陶
サイズ: 17 × 70 × 35cm","kuma","2016-09-25 09:11:33","2020-03-25 08:55:54"
"27","non-no in the room  (2016)","木彫りの熊は、昭和の時代に日本中にどこでもある置物であり、近代以降を代表する日本の置物彫刻である。
それは、北海道アイヌの作った郷土品であるといわれているが、江戸時代末期に政府が産業として発展させた近代彫刻である、ということはあまり知られていない。
アイヌ民族は、自然を神として敬う自然観をもっており、その文化の中で、数々の装飾的な民具や装具も有名である。
熊はカムイ（神様）としても位が高い。
作り手は来るべき消費社会の中でそれらが売られていくのを承知ながらも、どのような思いで作ってきただろうか。
さらにそれらは、民芸品という当たり障りのよい言葉として置き換えられている。
近代（置物）彫刻、アイヌという民族、民芸工芸この要素が内在する時代の残滓としての木彫りの熊の形態から、アイヌのその自然観に倣い、制作することに自然の姿に還元することはできないだろうか。
失われたものの存在の救済と新たな自然の発生をテーマに、木彫りの熊の型を形成し、解体し作品化する。
現在では、Ornamet Plants に並行し、植物のような形態への還元を試みている。

non-no in the roomでは、木彫りの熊の形態の一部を切り出し、その形態を「花」のようなかたちを焼き物で作り出した。
それを個展の会場で、散布させて展示しているインスタレーションである。

non-no in the room-white-(2015)
素材: 木彫りの熊, 陶
サイズ: 30 × 49 × 25cm

non-no in the room-pink-(2015)
素材: 木彫りの熊, 陶
サイズ: 14 × 20 × 8cm

non-no in the room-blue-(2015)
素材: 木彫りの熊, 陶
サイズ: 39 × 28 × 20cm

non-no in the room-yellow-(2015)
素材: 木彫りの熊, 陶
サイズ: 39 × 28 × 20cm","kuma","2016-09-25 09:11:33","2020-03-25 09:11:33"
"28","木彫りの熊の花  (2015)","素材: 木彫りの熊, 陶
サイズ: 22 × 25 × 13cm","kuma","2015-03-25 09:22:08","2020-03-25 09:22:08"
"29","Nobody Ⅳ   (2010)","人間も自然の一端の存在であり、自然へ還元されるべき存在である。
このことを主題に、焼き物の土から戻れない一方通行性をイメージの想起点とし、自身のかたちを型取り（或いは写真をもとに）粘土で立ち上げ、陶にし、生の土を同時に提示することにより、自然へ還ることのできない存在の宙吊りな自身のセルフポートレートとして浮かびあがる。

Nobody Ⅳ (2010)
素材: 陶、山砂
サイズ: 90 × 170 × 80cm","nobody","2011-09-26 02:55:29","2020-03-26 02:55:29"
"30","Nobody - 夢のような-   (2010)","人間も自然の一端の存在であり、自然へ還元されるべき存在である。
このことを主題に、焼き物の土から戻れない一方通行性をイメージの想起点とし、自身のかたちを型取り（或いは写真をもとに）粘土で立ち上げ、陶にし、生の土を同時に提示することにより、自然へ還ることのできない存在の宙吊りな自身のセルフポートレートとして浮かびあがる。

Nobody - 夢のような- (2010)
夢の中の自分を覗きみることを目的に、陶によって覗ける箱を作成。
鑑賞者は窓から、作者の夢の中での抑圧のイメージ（左の図）を覗き見ることができる。

陶 ガラス ベッド カーテン
240 × 120 × 330cm
人体 72 × 80 × 160cm","nobody","2010-03-26 02:57:23","2020-03-26 02:57:23"
"31","Nobody - 呼吸-   (2009)","人間も自然の一端の存在であり、自然へ還元されるべき存在である。
このことを主題に、焼き物の土から戻れない一方通行性をイメージの想起点とし、自身のかたちを型取り（或いは写真をもとに）粘土で立ち上げ、陶にし、生の土を同時に提示することにより、自然へ還ることのできない存在の宙吊りな自身のセルフポートレートとして浮かびあがる。

Nobody- 呼吸- (2009)
葬いをテーマに自分自身の身体と木を型取り、それを土で形を起こし、籾殻とともに焼成した素焼きの立体作品と、水を含んだ粘土を加熱し、水分を無くし干からびていく様子を捉えた映像とのインスタレーション。

素材: 陶、籾殻、映像(14min)、ベニヤ、木、ガラスの瓶、土
インスタレーションサイズ： 部屋330 × 640cm","nobody","2009-10-26 02:59:18","2020-03-26 02:59:18"
"32","Nobody Nowhere   (2009)","トイレは自分一人と向き合う空間であり、同時に衣類を脱ぎ、排泄を行うひとの無防備さを守る空間でもある。
排泄された私の断片は、土へ還り、また生を育む。
そういったトイレの空間に土を敷き、生と自信を巡る循環の世界を描きたい。
現在の還元できない自分自身の形を石膏によって型取りをし、陶の断片として点在させた。

素材：セラミック 土 植物 衛生陶器
トイレにインスタレーション 部屋寸法 480 × 360cm","nobody","2009-09-26 03:03:29","2020-03-26 03:03:29"
"33","眠りの家  (2013)","中之条にある伊参スタジオにある映画「眠る男」のセットとして建てられた古民家でのインスタレーション作品
日本文化の障子は、空間と空間を仕切る存在だ。
この別空間の堺の存在である障子をモチーフに制作をした。
障子を土で象り陶におきかえ、ゆらぎのある物質としてありのままの生死の象徴の世界を物を組み合わせた世界。
古民家の中でそのままの障子を中之条の住民より集めた障子を壁のように構成し、存在していた筈の世界と、生死の象徴の世界を分割して鑑賞者を歩きながら体験してもらう。

素材：古民家, 陶, 土, 植物, 障子　
サイズ：古民家にインスタレーション600 × 450cm","other","2013-09-26 03:57:32","2020-03-26 03:57:32"
"34","はなれ　へだたりⅠ (2013)
はなれ　へだたりⅡ (2013)","はなれへだたりⅠ (2013)
素材: 机, 陶
サイズ: 68 × 110 × 110cm

はなれへだたりⅡ (2013)
素材: 机, 陶
サイズ: 55 × 140 × 100cm","other","2013-03-26 03:59:27","2020-03-26 03:59:27"
"35","ならいの標本(2013)","素材: 玩具の車, 陶
サイズ: 45 × 30 × 7cm","other","2013-03-26 04:00:41","2020-03-26 04:00:41"
